title,bgg_id,bgg_url,image_url,description,game_type,difficulty,play_time,min_players,max_players,suggested_age,publisher,mechanics,location_room,location_shelf,location_misc,sleeved,upgraded_components,crowdfunded,inserts,is_for_sale,sale_price,sale_condition,is_expansion,parent_game,in_base_game_box,is_coming_soon,rating
"12 Days","","https://boardgamegeek.com/boardgame/130899/12-days","https://cf.geekdo-images.com/kqyGO2Disn148SnEq-ga5g__opengraph/img/DAKLVIRBBDOmAdN5ZzbybVWlqcY=/0x266:1319x958/fit-in/1200x630/filters:strip_icc()/pic6973669.png","12 Days is a charming, quick card game twisting ""Twelve Days of Christmas"" into a festive bidding and set collection experience. It combines simple rules with nostalgic themes for engaging family fun.

## Quick Gameplay Overview
- **Goal:** Collect the most valuable set of Christmas gifts by the twelfth round.
- **Each Round:**
    - **Deal Gifts:** Gift cards (1-12) are dealt to players, corresponding to the round number.
    - **Play Day Card:** Secretly choose a ""day"" card (1-12) from hand to bid.
    - **Reveal & Award:** Lowest day card chooses a gift card, then the next lowest, distributing all gifts.
    - **Resolve Ties:** Ties are broken by previously won gift card values.
- **End Game:** After twelve rounds, all gift cards are distributed.
- **Winner:** Player with the highest total score from collected majorities of each gift card number.","Card Game","1 - Light","15-30 Minutes","3","5","8+","Calliope Games","Auction / Bidding;Auction: Sealed Bid;Set Collection","Living Room Left","Shelf 4","","","","","","","","","","","","",""
"13 Dead End Drive","","https://boardgamegeek.com/boardgame/1899/13-dead-end-drive","https://cf.geekdo-images.com/r4mN8yoGRCSzsMLUBM50Lg__opengraph/img/Q1SEOF-zpiFZxSl2sUkRZ-C4kAU=/0x0:2158x1133/fit-in/1200x630/filters:strip_icc()/pic1199237.jpg","**13 Dead End Drive** is a thrilling board game where players secretly manipulate characters within a treacherous mansion to be the last heir standing and inherit Aunt Agatha's fortune. It combines deduction, strategy, and dark humor on an iconic 3D board.

## Quick Gameplay Overview
- **Goal:** Be the last character remaining in the mansion.
- **On Your Turn:**
    - **Roll and Move:** Move any character using the die.
    - **Play Card:** Play a Portrait to reveal a controlled character, or a Trap card to activate a trap.
    - **Activate Trap:** If a character is near a trap and you have the card, activate it to eliminate them.
- **Winner:** The player controlling the last surviving character wins.

This edition features classic components for a delightful blend of strategic movement and mischievous trap-setting.","Board Game","1 - Light","45-60 Minutes","2","4","9+","Hasbro","","","","","","","","","","","","","","","",""
"5-Minute Dungeon","","https://boardgamegeek.com/boardgame/207830/5-minute-dungeon","https://cf.geekdo-images.com/bFZKvxPJ23dzGwgpOg-mIA__opengraph/img/nQkYRoE3PmNZyPaTOTXGO3JRZr0=/0x139:427x363/fit-in/1200x630/filters:strip_icc()/pic3213622.png","5-Minute Dungeon is a chaotic, cooperative, real-time card game where players have just five minutes to defeat all monsters and the boss of a dungeon. It's a frantic experience that tests communication, quick thinking, and teamwork.

## Quick Gameplay Overview

**Goal:** Defeat five dungeon bosses within a strict five-minute time limit for each dungeon.

**Each Round:**
- **Draw Cards:** Draw resource and ability cards from your personal deck.
- **Play Cards:** Play cards to match symbols required by the current monster or obstacle.
- **Communicate:** Constantly communicate available cards and needs with teammates.
- **Defeat Challenges:** Once enough symbols are played, defeat the current monster/obstacle.

**End Game:** The team wins by defeating the fifth and final boss within the time limit.

**Winner:** The team wins or loses together.","Card Game","1 - Light","0-15 Minutes","2","5","8+","Wiggles 3D","Cooperative Game;Hand Management;Real-Time","","","","","","","","","","","","","","",""
"A Place for All My Books","","https://boardgamegeek.com/boardgame/431481/a-place-for-all-my-books","https://cf.geekdo-images.com/aPj94RRrT5oliCph1zaVbw__opengraph/img/4RxIBM-vGy138oLkHGsdAMFmsnI=/0x0:1635x858/fit-in/1200x630/filters:strip_icc()/pic8519566.png","**A Place for All My Books** is a charming, strategic board game where players organize books to create the most accomplished and aesthetically pleasing library. This cozy, puzzly experience is all about bringing order to your personal book collection.

## Quick Gameplay Overview

*   **Goal:** Score the most points by strategically arranging books on your shelves based on color, genre, and achievements.
*   **On Your Turn:**
    *   **Draft Books:** Select book tiles from a central market to add to your collection.
    *   **Place Books:** Immediately place drafted books onto your personal bookshelf board, observing placement rules.
    *   **Complete Goals:** Fulfill public or private objectives for immediate points or bonuses.
    *   **Manage Space:** Optimize limited shelf space to store valuable books efficiently.
*   **Winner:** The player with the highest-scoring book collection wins.","Board Game","2 - Medium Light","45-60 Minutes","1","4","10+","Smirk & Dagger Games","","","","","","","","","","","","","","","",""
"Agatha Christie: Death on the Cards","","https://boardgamegeek.com/boardgame/281206/agatha-christie-death-on-the-cards","https://cf.geekdo-images.com/kWoiv6mREOKtEv5pc7_h7w__opengraph/img/w41u0c5ngTDhX3pwSkUzXu0IDOQ=/0x0:2000x1050/fit-in/1200x630/filters:strip_icc()/pic5051378.jpg","**Agatha Christie: Death on the Cards** is a cooperative deduction game with a hidden traitor, immersing players in a classic whodunit. Unmask the murderer among you before they escape, or risk being outsmarted by the killer secretly sabotaging the investigation.

## Quick Gameplay Overview

*   **Goal:** Detectives aim to identify the murderer; the murderer aims to escape.
*   **On Your Turn:**
    *   **Draw Cards:** Gain clue, suspect, or action cards.
    *   **Play Cards:** Reveal information or advance the investigation.
    *   **Deduce and Discuss:** Use communication to piece together the crime.
*   **End Game:** Detectives expose the murderer, or the murderer escapes.
*   **Winner:** Detectives win if the murderer is caught; the murderer wins if they escape.

This edition features compelling narrative and hidden traitor mechanics, perfect for fans of mystery and social deduction.","Card Game","2 - Medium Light","2+ Hours","2","6","10+","Modiphius Entertainment","Deduction;Hidden Roles;Open Drafting;Set Collection;Traitor Game","","","","","","","","","","","","","","",""
"Alpujarras","","https://boardgamegeek.com/boardgame/330208/alpujarras","https://cf.geekdo-images.com/igc5cUrQE6TMhZCA9zhLIw__opengraph/img/5KOitjxGvHRr6potVnnv4-zRzcw=/0x132:1948x1155/fit-in/1200x630/filters:strip_icc()/pic7775576.jpg","In Alpujarras, transform the Spanish landscape into a prosperous domain, utilizing unique irrigation systems. This Euro-style board game challenges players to efficiently manage resources and strategically expand influence.

## Quick Gameplay Overview
**Goal:** Accumulate the most victory points by cultivating crops, expanding influence, and fulfilling market demands.

**On Your Turn:**
- **Place Workers:** Deploy workers to gather resources like water, soil, and seeds.
- **Cultivate Fields:** Use resources to plant crops on your board and the main board.
- **Sell Crops:** Fulfill market demands for benefits or victory points.
- **Expand Influence:** Place markers for area majority bonuses and regional control.

**Winner:** The player with the most victory points at the end of the game wins.","Board Game","3 - Medium","45-60 Minutes","1","4","12+","Dr. Finn's Games","Area Majority / Influence;Commodity Speculation","","","","","","","","true","30","New/Sealed","","","","",""
"Amoebunnies","","https://boardgamegeek.com/boardgame/386219/amoebunnies","https://cf.geekdo-images.com/kOmAPVJj0bXPCh1_zLpmpA__opengraph/img/glfMEVTfK3fCc1pN_njXUBxm4B4=/0x0:700x368/fit-in/1200x630/filters:strip_icc()/pic8365998.jpg","Amoebunnies is a charming, asymmetrical board game where adorable amoeba-like bunnies race to restore their lands. Each of six unique Amoebunnies has distinct goals and abilities, offering a fresh strategic experience every time.

## Quick Gameplay Overview

-   **Goal:** Be the first player to complete your unique character's objective.
-   **On Your Turn:**
    -   **Move:** Use your character's unique movement capabilities.
    -   **Use Ability:** Activate your special Amoebunny ability.
    -   **Interact:** Maneuver your Amoebunny to interact with game elements.
-   **Winner:** The first player to successfully complete their individual character objective.

This edition features a delightful and competitive experience for players of all ages.","Board Game","1 - Light","30-45 Minutes","2","6","10+","(Self-Published)","Action / Event;Different Dice Movement;Move Through Deck;Race;Variable Player Powers;Variable Set-up","","","","","","","","","","","","","","true",""
"Apples to Apples","","https://boardgamegeek.com/boardgame/74/apples-to-apples","https://cf.geekdo-images.com/S5GzB_f2Re3kEDoSxqG5Ew__opengraph/img/Jlqh1BND30W0sUeEj-s3_WvCKDA=/0x140:1000x851/fit-in/1200x630/filters:fill(blur):strip_icc()/pic213515.jpg","Apples to Apples is a classic party game where players make humorous or fitting comparisons. It's a game of subjective judgment and creativity, perfect for lively gatherings and hilarious outcomes.

## Quick Gameplay Overview

*   **Goal:** Be the first to collect a predetermined number of green ""Description"" cards.
*   **Each Round:**
    *   One player is the **Judge**, drawing a green adjective card.
    *   Other players secretly **choose** a red noun card from their hand that best matches or amuses the Judge.
    *   Players then **submit** their chosen red cards face down.
    *   The Judge **shuffles** and reveals the red cards, then **selects** their favorite.
*   **Winner:** The player whose red card was chosen wins the green card and becomes the new Judge.
*   **End Game:** The game ends when a player collects the target number of green cards.

This edition offers endless card combinations for high replayability and fresh laughs.","Party Game","1 - Light","15-30 Minutes","4","10","12+","Mattel","Hand Management;Player Judge;Storytelling","","","","","","","","","","","","","","",""
"Art Society","","https://boardgamegeek.com/boardgame/395375/art-society","https://cf.geekdo-images.com/_-kTI7KnJp7PmbZ5ISS5RQ__opengraph/img/XLLoMa5KI0KkJWBLl1wqWRq4wyI=/0x117:1606x960/fit-in/1200x630/filters:strip_icc()/pic7628025.png","In Art Society, players become art collectors vying to create the most prestigious gallery by acquiring, arranging, and influencing the art market. This game blends strategic tile placement and set collection with an innovative trend-influencing mechanism.

## Quick Gameplay Overview

*   **Goal:** Score the most victory points by curating your gallery, fulfilling secret objectives, and manipulating art trends.
*   **On Your Turn:**
    *   **Acquire Paintings:** Draft paintings from a market to your hand or gallery.
    *   **Place Paintings:** Place paintings on your gallery board, matching colors, styles, or artists for sets.
    *   **Influence Trends:** Take actions to shift the value of art styles or artists on a trend board.
    *   **Complete Objectives:** Fulfill secret objective cards for additional points.
*   **End Game:** The game ends after a set number of rounds or when a player fills their gallery.
*   **Winner:** The player with the highest total score from their gallery, trend influence, and objectives.","Board Game","2 - Medium Light","30-45 Minutes","2","4","10+","Mighty Boards","Set Collection;Pattern Building;Tile Placement","","","","","","","","","","","","","","",""
"Artistry","","https://boardgamegeek.com/boardgame/432858/artistry","https://cf.geekdo-images.com/C1Sv2zok3q8TpOtDeZBMhg__itemrep/img/D35dYoiixW-GS3ibTW6xlwqwWt0=/fit-in/246x300/filters:strip_icc%28%29/pic8535016.jpg","In Artistry, players immerse themselves in the world of Art Nouveau, shaping patterns and masterpieces to etch their names in history. This abstract strategy game combines elegant mechanics with artistic expression.

## Quick Gameplay Overview

- **Goal:** Collect sets of art tiles to create stunning patterns and earn renown.
- **On Your Turn:** Draft tiles from a central display and strategically place them on your player board to complete patterns.
- **End Game:** The game ends after a set number of rounds or when a player meets a specific masterpiece objective.
- **Winner:** The player with the most renown points from completed patterns and masterpieces wins.

Artistry offers a beautiful and engaging experience for those who appreciate both strategy and aesthetics.","Board Game","2 - Medium Light","30-45 Minutes","1","4","8+","Dux Somnium Games","Set Collection;Open Drafting","Dining Room","Display Case","In jewelry box","","true","true","","","","","","","","","4.0"
